Language,Name,Profession,Gender,Age,Elimination Date,Elimination Week Number,Contestant Number,Wild Card,Host Name,Broadcasted By,OTT Platform,Average TRP,Most Viewed States,House Location,OTT Season,Number of Evictions Faced,Number of Times Elected as Captain,Number of Re-entries,Walked,Ejected,In Secret-Room,Won Eviction Free Pass,Won Ticket to Finale,Secret Task,Social Media Popularity,Finalist,Winner
Hindi,Amit Sadh,Soap Actor,Male,Young,,10.0,5.0,No,Arshad Warsi,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,2,0.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Anupama Verma,Model,Female,Young,,5.0,8.0,No,Arshad Warsi,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,1,0.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Aryan Vaid,Pageant Winner,Male,Middle,,4.0,9.0,No,Arshad Warsi,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,1,0.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Bobby Darling,Activist,Transgender,Young,,1.0,12.0,No,Arshad Warsi,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,1,0.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Carol Gracias,Model,Female,Young,26-Jan-07,12.0,2.0,No,Arshad Warsi,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,5,0.0,0.0,0.0,0.0,,,,,,1.0,0
Hindi,Deepak Parashar,Actor,Male,Old,,2.0,11.0,No,Arshad Warsi,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,2,0.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Kashmira Shah,Actress,Female,Middle,,3.0,10.0,No,Arshad Warsi,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,1,0.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Ragini Shetty,Commoner,Female,Young,,7.0,7.0,No,Arshad Warsi,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,2,0.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Rahul Roy,Actor,Male,Middle,,,1.0,No,Arshad Warsi,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,1,4.0,0.0,0.0,0.0,,,,,,1.0,1
Hindi,Rakhi Sawant,Actress,Female,Middle,,11.0,4.0,No,Arshad Warsi,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,3,0.0,1.0,0.0,0.0,,,,,,1.0,0
