Language,Season Number,Name,Profession,Gender,Age,Entry Date,Elimination Date,Elimination Week Number,Contestant Number,Wild Card,Season Length,Number of Housemates,Season Start Date,Season End Date,Host Name,Guest Host Name,Prize Money (INR),Broadcasted By,OTT Platform,Average TRP,Most Viewed States,House Location,OTT Season,Season Slogan,Season Theme,Number of Evictions Faced,Number of Times Elected as Captain,Number of Re-entries,Walked,Ejected,In Secret-Room,Won Eviction Free Pass,Won Ticket to Finale,Number of Times Best Performer,Number of Times Worst Performer,Secret Task,Social Media Popularity,Finalist,Winner
Hindi,1,Amit Sadh,Soap Actor,Male,Young,3-Nov-06,,10.0,5.0,No,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,0,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,2,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,1,Anupama Verma,Model,Female,Young,3-Nov-06,,5.0,8.0,No,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,0,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,1,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,1,Aryan Vaid,Pageant Winner,Male,Middle,3-Nov-06,,4.0,9.0,No,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,0,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,1,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,1,Bobby Darling,Activist,Transgender,Young,3-Nov-06,,1.0,12.0,No,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,0,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,1,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,1,Carol Gracias,Model,Female,Young,3-Nov-06,26-Jan-07,12.0,2.0,No,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,0,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,5,0.0,0.0,0.0,0.0,,,,,,,,1.0,0
Hindi,1,Deepak Parashar,Actor,Male,Old,3-Nov-06,,2.0,11.0,No,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,0,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,2,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,1,Kashmira Shah,Actress,Female,Middle,3-Nov-06,,3.0,10.0,No,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,0,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,1,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,1,Ragini Shetty,Commoner,Female,Young,3-Nov-06,,7.0,7.0,No,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,0,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,2,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,1,Rahul Roy,Actor,Male,Middle,3-Nov-06,,,1.0,No,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,"1,00,00,000",Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,1,4.0,0.0,0.0,0.0,,,,,,,,1.0,1
Hindi,1,Rakhi Sawant,Actress,Female,Middle,3-Nov-06,,11.0,4.0,No,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,0,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,3,0.0,1.0,0.0,0.0,,,,,,,,1.0,0
Hindi,1,Ravi Kishan,Actor,Male,Middle,3-Nov-06,26-Jan-07,12.0,3.0,No,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,0,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,2,2.0,0.0,0.0,0.0,,,,,,,,1.0,0
Hindi,1,Rupali Ganguly,Soap Actress,Female,Young,3-Nov-06,,9.0,6.0,No,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,0,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,2,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,1,Salil Ankola,Sports Person,Male,Middle,3-Nov-06,,1.0,13.0,No,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,0,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,0,0.0,0.0,0.0,1.0,,,,,,,,0.0,0
Hindi,1,Deepak Tijori,Actor,Male,Middle,,,6.0,14.0,Yes,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,0,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,2,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,1,Baba Sehgal,Singer,Male,Middle,,,8.0,15.0,Yes,86,15,3-Nov-06,26-Jan-07,Arshad Warsi,,0,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,1,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,2,Ahsaan Qureshi,Comedian,Male,Middle,17-Aug-08,,9.0,11.0,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,,0,Colors,,2.89,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,1,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,2,Ashutosh Kaushik,Reality Show Alumni,Male,Middle,17-Aug-08,,,10.0,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,,"1,00,00,000",Colors,,2.89,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,5,0.0,1.0,1.0,0.0,,,,,,,,1.0,1
Hindi,2,Debojit Saha,Singer,Male,Middle,17-Aug-08,,10.0,2.0,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,,0,Colors,,2.89,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,2,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,2,Elina Wadiwala,Model,Female,Young,17-Aug-08,,5.0,13.0,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,,0,Colors,,2.89,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,2,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,2,Jade Goody,International Star,Female,Young,17-Aug-08,,,14.0,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,,0,Colors,,2.89,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0
Hindi,2,Ketaki Dave,Soap Actress,Female,Middle,17-Aug-08,,4.0,12.0,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,,0,Colors,,2.89,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,1,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,2,Monica Bedi,Actress,Female,Middle,17-Aug-08,,13.0,1.0,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,,0,Colors,,2.89,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,3,0.0,1.0,0.0,0.0,,1.0,,,,,,0.0,0
Hindi,2,Payal Rohatgi,Actress,Female,Young,17-Aug-08,,8.0,6.0,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,,0,Colors,,2.89,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,2,0.0,0.0,0.0,0.0,,,,,,,,0.0,0
Hindi,2,Rahul Mahajan,Politician,Male,Middle,17-Aug-08,,,5.0,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,,0,Colors,,2.89,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,,,5,0.0,1.0,1.0,1.0,,,,,,,,0.0,0
